Month,Points,Rank,PD
2010-01-01,1325,1143,
2010-02-01,1325,1139,0.0
2010-03-01,1336,1085,11.0
2010-04-01,1350,815,14.0
2010-05-01,1349,1038,-1.0
2010-06-01,1349,1037,0.0
2010-07-01,1345,1054,-4.0
2010-08-01,1347,1028,2.0
2010-09-01,1359,785,12.0
2010-10-01,1362,773,3.0
2010-11-01,1371,737,9.0
2010-12-01,1357,790,-14.0
2011-01-01,1357,798,0.0
2011-02-01,1357,802,0.0
2011-03-01,1353,827,-4.0
2011-04-01,1360,797,7.0
2011-05-01,1348,1036,-12.0
2011-06-01,1351,863,3.0
2011-07-01,1372,757,21.0
2011-08-01,1363,798,-9.0
2011-09-01,1356,834,-7.0
2011-10-01,1354,850,-2.0
2011-11-01,1348,1032,-6.0
2011-12-01,1340,1069,-8.0
2012-01-01,1340,1070,0.0
2012-02-01,1340,1063,0.0
2012-03-01,1347,1021,7.0
2012-04-01,1367,792,20.0
2012-05-01,1367,791,0.0
2012-06-01,1376,755,9.0
2012-07-01,1386,710,10.0
2012-08-01,1395,667,9.0
2012-09-01,1395,669,0.0
2012-10-01,1383,726,-12.0
2012-11-01,1379,738,-4.0
2012-12-01,1387,714,8.0
2013-01-01,1387,712,0.0
2013-02-01,1381,735,-6.0
2013-03-01,1418,559,37.0
2013-04-01,1416,563,-2.0
2013-05-01,1451,420,35.0
2013-06-01,1451,422,0.0
2013-07-01,1445,461,-6.0
2013-08-01,1452,418,7.0
2013-09-01,1443,467,-9.0
2013-10-01,1459,391,16.0
2013-11-01,1441,484,-18.0
2013-12-01,1430,516,-11.0
2014-01-01,1430,514,0.0
2014-02-01,1430,516,0.0
2014-03-01,1431,510,1.0
2014-04-01,1447,453,16.0
2014-05-01,1461,388,14.0
2014-06-01,1461,388,0.0
2014-07-01,1468,366,7.0
2014-08-01,1470,362,2.0
2014-09-01,1487,314,17.0
2014-10-01,1479,329,-8.0
2014-11-01,1476,342,-3.0
2014-12-01,1469,366,-7.0
2015-01-01,1469,365,0.0
2015-02-01,1464,374,-5.0
2015-03-01,1454,407,-10.0
2015-04-01,1463,383,9.0
2015-05-01,1495,287,32.0
2015-06-01,1501,250,6.0
2015-07-01,1488,316,-13.0
2015-08-01,1490,310,2.0
2015-09-01,1506,241,16.0
2015-10-01,1506,236,0.0
2015-11-01,1508,239,2.0
2015-12-01,1508,238,0.0
2016-01-01,1508,248,0.0
2016-02-01,1517,223,9.0
2016-03-01,1514,226,-3.0
2016-04-01,1535,182,21.0
2016-05-01,1533,192,-2.0
2016-06-01,1515,234,-18.0
2016-07-01,1539,179,24.0
2016-08-01,1535,194,-4.0
2016-09-01,1552,160,17.0
2016-10-01,1563,145,11.0
2016-11-01,1561,152,-2.0
2016-12-01,1561,153,0.0
2017-01-01,1561,152,0.0
2017-02-01,1576,123,15.0
2017-03-01,1574,134,-2.0
2017-04-01,1590,111,16.0
2017-05-01,1563,152,-27.0
2017-06-01,1550,173,-13.0
2017-07-01,1528,211,-22.0
2017-08-01,1525,217,-3.0
2017-09-01,1535,197,10.0
2017-10-01,1549,177,14.0
2017-11-01,1571,145,22.0
2017-12-01,1551,173,-20.0
2018-01-01,1551,176,0.0
2018-02-01,1551,185,0.0
2018-03-01,1534,208,-17.0
2018-04-01,1519,232,-15.0
2018-05-01,1523,232,4.0
2018-06-01,1523,230,0.0
2018-07-01,1536,202,13.0
2018-08-01,1524,226,-12.0
2018-09-01,1536,199,12.0
2018-10-01,1541,197,5.0
2018-11-01,1526,226,-15.0
2018-12-01,1529,216,3.0
2019-01-01,1529,218,0.0
2019-02-01,1528,223,-1.0
2019-03-01,1532,211,4.0
2019-04-01,1522,236,-10.0
2019-05-01,1503,277,-19.0
2019-06-01,1510,262,7.0
2019-07-01,1511,259,1.0
2019-08-01,1495,294,-16.0
2019-09-01,1486,315,-9.0
2019-10-01,1525,232,39.0
2019-11-01,1478,339,-47.0
2019-12-01,1471,358,-7.0
2020-01-01,1471,359,0.0
2020-02-01,1475,353,4.0
2020-03-01,1475,354,0.0
2020-04-01,1475,354,0.0
2020-05-01,1475,353,0.0
2020-06-01,1475,356,0.0
2020-07-01,1470,371,-5.0
2020-08-01,1473,362,3.0
2020-09-01,1453,419,-20.0
2020-10-01,1462,393,9.0
2020-11-01,1452,432,-10.0
2020-12-01,1435,498,-17.0
2021-01-01,1435,497,0.0
2021-02-01,1434,499,-1.0
2021-03-01,1416,572,-18.0
2021-04-01,1429,516,13.0
2021-05-01,1440,471,11.0
