,節,開催日,曜日,相手,スコア,得点,失点,H/A,会場,観客数,天候,AGI,KAGI,チャンス構築率,シュート,シュート成功率,支配率,攻撃CBP,パスCBP,奪取P,守備P,得点者,指揮官
0,1,2019-02-23,(土),広島,1-1,1,1,A,Ｅスタ,14084,晴,45,38,0.054,7,0.143,0.494,13.97,11.77,92.33,16.58,['北川'],ヤン　ヨンソン
1,2,2019-03-02,(土),Ｇ大阪,2-4,2,4,H,アイスタ,16710,晴,57,41,0.163,17,0.118,0.387,14.4,10.12,76.72,16.4,"['中村', '滝']",ヤン　ヨンソン
2,3,2019-03-09,(土),札幌,2-5,2,5,A,札幌ド,22692,屋内,42,50,0.161,18,0.111,0.496,15.66,11.24,83.79,18.48,"['松原', '滝']",ヤン　ヨンソン
3,4,2019-03-17,(日),神戸,1-1,1,1,A,ノエスタ,22542,晴,65,55,0.183,20,0.05,0.4,21.33,17.15,101.97,13.66,['鄭大世'],ヤン　ヨンソン
4,5,2019-03-31,(日),湘南,1-3,1,3,H,アイスタ,17169,晴,58,49,0.079,10,0.1,0.558,17.95,14.23,80.32,12.97,['金子'],ヤン　ヨンソン
5,6,2019-04-06,(土),FC東京,1-2,1,2,A,味スタ,22302,晴,51,40,0.122,16,0.063,0.479,14.48,10.51,94.43,17.53,['北川'],ヤン　ヨンソン
6,7,2019-04-14,(日),磐田,2-1,2,1,A,エコパ,31144,曇のち雨,45,51,0.115,14,0.143,0.437,11.24,9.18,103.12,15.73,"['鄭大世', '北川']",ヤン　ヨンソン
7,8,2019-04-02,(土),Ｃ大阪,1-0,1,0,H,アイスタ,11028,曇,53,52,0.115,13,0.077,0.378,10.71,6.21,89.03,16.34,['北川'],ヤン　ヨンソン
8,9,2019-04-28,(日),浦和,0-2,0,2,H,アイスタ,18246,曇,37,65,0.065,7,0.0,0.467,14.75,12.52,94.27,12.59,[''],ヤン　ヨンソン
9,10,2019-05-03,(金),鹿島,0-3,0,3,A,カシマ,31182,晴のち曇,48,36,0.099,11,0.0,0.415,12.38,9.66,57.85,17.2,[''],ヤン　ヨンソン
10,11,2019-05-12,(日),川崎Ｆ,0-4,0,4,H,アイスタ,14125,晴,38,40,0.076,9,0.0,0.498,12.96,10.35,108.76,14.94,[''],ヤン　ヨンソン
11,12,2019-05-18,(土),大分,1-1,1,1,A,昭和電ド,11563,屋内,47,72,0.151,13,0.077,0.333,8.1,7.08,42.8,11.2,['ドウグラス'],篠田　善之
